subject	task_experience_response	task_experience_other_response	open_ended_feedback_response
53c04378fdf99b360e022d92	No	NA	NA
545cbbcafdf99b11ed040acf	No	NA	NA
5484949efdf99b0379939cc6	No	NA	NA
558955ebfdf99b6bd06016c9	No	NA	Thanks!
55ae64defdf99b3f864653e7	No	NA	NA
55b0029bfdf99b5c00619440	No	NA	NA
55bb9ae7fdf99b26d27fda01	No	NA	NA
55beec67fdf99b6b670922f8	No	NA	NA
55c43918fdf99b080551e044	No	NA	NA
55c82012fdf99b02adc2a36e	No	NA	NA
55ea70c37480920010aa9982	No	NA	No
5607080ed7def20012b733c3	No	NA	NA
56279953ddff3c0005bcdba9	No	NA	NA
56514c84715ff50011a43878	No	NA	N/A
568eca7be3ef9e000ca208fc	No	NA	My eyes glazed over very quickly. I took this test after work, so my eyes are tired.
56a38b45dbe850000cfd50c3	No	NA	NA
56a40b90582971000c7b49b7	No	NA	NA
56a93cf24020250005d62f2b	No	NA	NA
56b8de29e1d0a200051517f8	No	NA	NA
56d0f57421cd29000a9737e4	No	NA	NA
56d39b96da2aaa000dab6178	No	NA	NA
56e2d87a0756b2000da6303d	No	NA	I think the practice round was a bit too long.
56ec151f388e1d000a5924d0	No	NA	NA
56fa002e8425ef000b3a4276	No	NA	thank you
56fc4404f758b80010affdbb	Not sure (please explain):	I think I did something similar to this where I had to use my right and/or left index finger depending on what I saw, as quickly and accurately as possible.	NA
570665aeac75a4000f94eddc	No	NA	NA
570b7b5fb9b52b00102d96f9	No	NA	NA
571643bbcd6ea20009dbb6b0	No	NA	NA
575865ba7b74a80006de2689	No	NA	No comment.
5786d6076475d400015a959e	No	NA	NA
57901207c9abeb0001af353e	No	NA	NA
57d0a0bee3221e00015fe385	No	NA	inquisit is the devil
57d6dd8d6598aa000199188b	No	NA	NA
57d714de813eb30001825ac4	No	NA	NA
57ff0e138f420f00011a5d0e	No	NA	NA
580a494da38f4a00012ebfdc	No	NA	NA
581bd344930a280001062c90	No	NA	NA
58211fc787f6b90001f13f90	No	NA	NA
583748dafb65a0000128b059	No	NA	NA
583c47973f1540000163f02b	No	NA	NA
583f12f545073d0001fac52d	No	NA	NA
58935d5d4d77be0001689f14	No	NA	NA
58a43e029a17120001d910d5	No	NA	NA
58f76757fb4d7500014af761	No	NA	NA
59014ee029f42300013cc5b7	No	NA	NA
5928b6414a05920001393ecf	No	NA	Felt like I did better with my left hand even though I'm right handed
594936ad4152bf0001bfd5cd	No	NA	NA
594a964c215cbd000146de75	No	NA	NA
594a969df0ea1b0001558178	No	NA	NA
594c1e5a9160cb00011d6474	No	NA	NA
59598e604c20120001517c99	No	NA	NA
596fea64a5c32a0001584755	No	NA	NA
59715b4b50e2f000016fe00e	No	NA	NA
59a07638bfd73c00010ea394	No	NA	NA
59b0106d834a170001d6061c	NA	NA	NA
59d5c894c732930001d88b5e	No	NA	none
59d662aa0c0c7100015b9af6	No	NA	NA
5a01e188ab721b0001ef7134	No	NA	NA
5a04869ff2e3460001edad2e	No	NA	NA
5a348ea750833c0001ee9550	No	NA	NA
5a35ecbf57d4450001236fd3	No	NA	NA
5a5e94a7eedc32000142cd08	No	NA	NA
5a6ff39ef660ae0001a9837e	No	NA	NA
5a78dbb9ae9a0b0001a97212	No	NA	NA
5a7ab4c0f1408d0001761db7	No	NA	NA
5a94ca1a873cda0001dc7147	No	NA	NA
5a98b39b89de8200013ef94f	No	NA	NA
5a9dd8b1873cda00010d18c5	No	NA	NA
5aa3609e6475f90001a04905	Yes	NA	Thank you for the opportunity to participate.
5aa6e29435237b0001130d68	No	NA	NA
5aadbe52811b2000016f7633	No	NA	NA
5ab7c19e1667e40001d7cd93	No	NA	NA
5ac5300f9534ba0001c7446b	No	NA	NA
5ac6ca185cd105000162499d	No	NA	NA
5ad7835e9c198c0001fad31a	No	NA	NA
5adef850eb60400001539109	No	NA	NA
5adf3828dee8590001b05860	No	NA	NA
5ae3a41d32ef52000131a531	No	NA	NA
5aee513f3606ab0001b92b29	No	NA	NA
5aee59100ccc2e000185937c	No	NA	NA
5af238825847970001e34baf	No	NA	NA
5af309960eca060001b15b47	No	NA	NA
5af491b6222e4d0001877572	No	NA	NA
5b066e00f58f8400018b0906	No	NA	NA
5b0cb441444cef0001ca5fbd	No	NA	NA
5b15307351caaf0001228d9b	No	NA	no
5b3e2334cdb4ce0001d93c51	Not sure (please explain):	Yes very similar but having to press different keys for different shape. Not this exact study.	NA
5b48a9e14acd54000132a67f	No	NA	NA
5b5c8d4e10aec90001ed4bee	No	NA	NA
5b5d13d25256470001bc5ef2	No	NA	NA
5b666901f7798c000182c01c	No	NA	it was fun
5b76d0f5fca8d9000139404c	No	NA	NA
5b7c877f9dc643000172043d	No	NA	NA
