subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt	ehi_i1_writing	ehi_i2_throwing	ehi_i3_toothbrush	ehi_i4_spoon	ehi_total	age	country	sex	education	race	hispanic_ethnicity	task_experience_response	task_experience_other_response	open_ended_feedback_response
59a07638bfd73c00010ea394	96657	1	practice	z	1	absent	absent	absent	no	absent	1	2000	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	101288	1	practice	z	2	absent	absent	absent	no	absent	1	2000	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	104746	1	practice	z	3	circle	global	LVF	yes	present	1	1122	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	108554	1	practice	z	4	square	local	LVF	yes	present	1	1263	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	111801	1	practice	z	5	circle	global	RVF	yes	present	1	1174	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	115012	1	practice	z	6	square	global	LVF	yes	present	1	909	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	119028	1	practice	z	7	square	global	LVF	yes	absent	0	2000	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	122385	1	practice	z	8	square	local	LVF	yes	present	1	1174	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	125595	1	practice	z	9	absent	absent	absent	no	present	0	1214	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	128641	1	practice	z	10	circle	local	RVF	yes	present	1	950	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	131987	1	practice	z	11	circle	global	LVF	yes	present	1	1216	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	135369	1	practice	z	12	circle	local	RVF	yes	present	1	1141	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	138409	1	practice	z	13	square	global	RVF	yes	present	1	998	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	141449	1	practice	z	14	circle	global	RVF	yes	present	1	1045	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	145260	1	practice	z	15	absent	absent	absent	no	absent	1	2000	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	148115	1	practice	z	16	circle	local	RVF	yes	present	1	790	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	151809	2	main	z	1	square	local	RVF	yes	present	1	904	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	154081	2	main	z	2	square	local	RVF	yes	present	1	765	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
59a07638bfd73c00010ea394	156313	2	main	z	3	circle	local	LVF	yes	present	1	933	25	12.5	25	12.5	75	23	US	Male	12	Black or African American	No	No	NA	NA
